area_code;"address";"phone_number";geocode
ТИК ЖД;Орел пер. Трамвайный, д.1, каб. 14А ;+7 (4862) 55-38-72;[52.969975, 36.086304];
3;Орел ул.Революции, д.4;+7 (4862) 55-86-73, +7 (4862) 54-36-73;[52.971933, 36.08175];
6;Орел ул.Пушкина, д.80;+7 (4862) 55-41-67;[52.968239, 36.090544];
7;Орел ул.Пушкина, д.80 ;+7 (4862) 55-41-67, +7 (4862) 55-14-14;[52.968239, 36.090544];
9;Орел ул.5 Августа, д.25;+7 (4862) 54-27-32;[52.963027, 36.093257];
10;Орел ул.5 Августа, д.25;+7 (4862) 73-59-49;[52.963027, 36.093257];
14;Орел ул.Лесная, д.9;+7 (4862) 42-86-74;[52.970777, 36.110586];
20;Орел ул.Орджоникидзе, д.3;+7 (4862) 55-49-10;[52.978787, 36.106408];
21;Орел пер. Южный, д.26 ;8 919 260 10 71;[52.97229, 36.135083];
22;Орел пер. Южный, д.26 ;+7 (4862) 55-35-90;[52.97229, 36.135083];
27;Орел ул.Льва Толстого, д.6;+7 (4862) 46-68-73;[52.99557, 36.091272];
ТИК СЕВ;Орел Московское шоссе, д.137, корп. 5, каб. 511 ;+7 (4862) 33-20-43;[53.004848, 36.135559];
30;Орел ул.Силикатная, д.22 ;+7 (4862) 46-91-22;[53.006501, 36.102528];
31;Орел ул.Силикатная, д.12 ;+7 (4862) 46-91-10;[53.008506, 36.103058];
33;Орел ул.Маринченко, д.10;+7 (4862) 33-03-40, +7 (4862) 33-10-53;[53.010418, 36.142485];
34;Орел ул.Маринченко, д.10;+7 (4862) 33-03-40;[53.010418, 36.142485];
37;Орел ул.Маринченко, д.9;+7 (4862) 33-07-32;[53.008034, 36.140365];
38;Орел ул.Рощинская, д.33;+7 (4862) 33-11-22;[53.016979, 36.14421];
39;Орел ул.Металлургов, д.42;+7 (4862) 33-02-27;[53.015755, 36.143132];
41;Орел ул.Маринченко, д.9;+7 (4862) 33-07-32, +7 (4862) 33-07-80;[53.008034, 36.140365];
42;Орел ул.Маринченко, д.25;+7 (4862) 33-01-32, +7 (4862) 33-09-10;[53.011263, 36.133268];
43;Орел ул.Рощинская, д.33;+7 (4862) 33-12-91;[53.016979, 36.14421];
44;Орел ул.Металлургов, д.42;+7 (4862) 33-03-01;[53.015755, 36.143132];
46;Орел ул.Маринченко, д.25 ;+7 (4862) 33-09-10;[53.011263, 36.133268];
47;Орел ул.Блынского, д.6;+7 (4862) 33-18-92, +7 (4862) 33-32-77;[53.000226, 36.129037];
48;Орел ул.Блынского, д.6;+7 (4862) 33-18-92;[53.000226, 36.129037];
50;Орел ул.Блынского, д.6;8 910 200 42 50;[53.000226, 36.129037];
51;Орел ул.Маринченко, д.9;8 910 200 42 52;[53.008034, 36.140365];
52;Орел ул.Маринченко, д.25;+7 (4862) 33-09-10;[53.011263, 36.133268];
ТИК ЗАВ;Орел ул.1-я Посадская, д.14, каб. 33;+7 (4862) 55-18-80, +7 (4862) 55-88-62;[52.959615, 36.063559];
54;Орел ул.Черкасская, д.81;+7 (4862) 75-25-22;[52.954147, 36.078875];
65;Орел ул.Комсомольская, д.182;+7 (4862) 59-18-72;[52.94444, 36.053507];
68;Орел ул.Васильевская, д.151;+7 (4862) 72-17-31;[52.9487, 36.038568];
69;Орел ул.Васильевская, д.151;+7 (4862) 72-17-31;[52.9487, 36.038568];
72;Орел ул.Латышских стрелков, д.103;+7 (4862) 77-10-57;[52.94049, 36.041352];
73;Орел ул.Комсомольская, д.182 ;+7 (4862) 59-18-72;[52.94444, 36.053507];
74;Орел ул.Комсомольская, д.182 ;+7 (4862) 59-18-72;[52.94444, 36.053507];
77;Орел ул.Автовокзальная, д.34;+7 (4862) 72-19-54;[52.933054, 36.038972];
78;Орел ул.Латышских стрелков, д.105;+7 (4862) 77-57-43;[52.93865, 36.037741];
80;Орел ул.Комсомольская, д.374 ;+7 (4862) 72-11-92;[52.92888, 36.024231];
84;Орел ул.Планерная, д.55;+7 (4862) 74-81-06;[52.927116, 36.015202];
85;Орел ул.Планерная, д.55;+7 (4862) 59-31-06;[52.927116, 36.015202];
86;Орел ул.Комсомольская, д.374;+7 (4862) 72-11-92;[52.92888, 36.024231];
89;Орел ул.Черкасская, д.81;+7 (4862) 75-25-22;[52.954147, 36.078875];
90;Орел ул.Узловая, д.5;+7 (4862) 47-60-95, +7 (4862) 47-74-95;[52.93471, 36.089808];
91;Орел ул.Узловая, д.5;+7 (4862) 47-60-95, +7 (4862) 47-74-95;[52.93471, 36.089808];
95;Орел ул.Гагарина, д.35А;+7 (4862) 55-49-64;[52.959149, 36.072946];
96;Орел ул.Маяковского, д.55;+7 (4862) 59-15-77;[52.954722, 36.070664];
98;Орел ул.Автовокзальная, д.34;+7 (4862) 72-19-54;[52.933054, 36.038972];
100;Орел ул.Планерная, д.55;+7 (4862) 59-31-06;[52.927116, 36.015202];
ТИК СОВ;Орел ул.Октябрьская, д.30;+7 (4862) 43-39-23;[52.973825, 36.06143];
103;Орел ул.Салтыкова-Щедрина, д.41;+7 (4862) 76-43-80;[52.976113, 36.066568];
104;Орел ул.М.Горького, д.93;+7 (4862) 47-59-26;[52.983097, 36.078875];
105;Орел ул.М.Горького, д.93;+7 (4862) 47-59-26;[52.983097, 36.078875];
106;Орел ул.Пожарная, д.52;+7 (4862) 41-34-31;[52.981855, 36.084085];
107;Орел ул.Пожарная, д.52;+7 (4862) 42-07-10;[52.981855, 36.084085];
111;Орел ул.Игнатова, д.9;+7 (4862) 41-07-09;[52.987629, 36.069236];
112;Орел ул.Игнатова, д.9;+7 (4862) 41-07-09;[52.987629, 36.069236];
113;Орел ул.Игнатова, д.9;+7 (4862) 41-07-09;[52.987629, 36.069236];
115;Орел ул.Матвеева, д.12;+7 (4862) 41-01-04, +7 (4862) 41-57-47;[52.987781, 36.063738];
121;Орел ул.Трудовых резервов, д.32;+7 (4862) 76-16-02, +7 (4862) 76-19-29;[52.966211, 36.03386];
125;Орел ул.Салтыкова-Щедрина, д.31;+7 (4862) 76-30-15;[52.970859, 36.060513];
127;Орел ул.Тургенева, д.44а;+7 (4862) 76-27-14;[52.97228, 36.051405];
132;Орел ул.Трудовых резервов, д.32;+7 (4862) 76-19-29;[52.966211, 36.03386];
133;Орел ул.М. Горького, д.25;+7 (4862) 76-28-80;[52.968928, 36.060334];
135;Орел ул.Картукова, д.8;+7 (4862) 73-69-57;[52.992941, 36.041784]
